term,weight
top,5.8911
langeweile,5.8396
geilo,5.7615
perfekt,5.6325
super,5.6279
best,5.5831
suchtfaktor,5.5099
geil,5.4957
manchmal,5.3553
nice,5.3516
love,5.3464
exzellent,5.3228
suchtgefahr,5.2703
addet,5.2022
liebe,5.168
cool,5.0967
geile,5.0529
bestens,5.0427
supi,5.0124
abzug,4.8944
adden,4.8854
genial,4.8827
klasse,4.8488
coole,4.8056
prima,4.7587
heiße,4.593
hammer,4.5661
coll,4.5564
aufhören,4.5345
geiles,4.5148
good,4.5107
zeitvertreib,4.4898
abwechslungsreich,4.4277
fun,4.4007
geiler,4.3744
beste,4.3557
gut,4.3061
meckern,4.3006
gute,4.2254
spiel,4.1854
cooooool,4.1472
name,4.1404
vertreib,4.1296
spitze,3.9635
suppi,3.9126
zwischendurch,3.8923
suche,3.8517
süß,3.8367
leicht,3.8179
spaßig,3.8135
td,3.7959
coooooooooooool,3.7848
schöne,3.7758
coooooooooool,3.774
müsst,3.7663
klassiker,3.7511
wow,3.7334
nachbarn,3.7069
unterhaltsam,3.6945
like,3.6825
coooooooool,3.6726
hervorragend,3.6589
passt,3.645
macht,3.6424
supa,3.6379
toll,3.6177
auszusetzen,3.6042
funny,3.5824
laune,3.5766
bisschen,3.5729
familie,3.5667
lob,3.511
great,3.506
geilste,3.4877
guter,3.4875
tolle,3.4793
geill,3.4681
exellent,3.463
jut,3.4522
fantastisch,3.4353
ausversehen,3.4193
perfect,3.4107
lol,3.4088
coool,3.4057
schick,3.402
sexy,3.3965
besten,3.3883
sucht,3.3795
suchtpotential,3.3759
coooooooooooooool,3.3691
vertreiben,3.3686
jo,3.3416
fan,3.3258
dankeschön,3.3146
farmspiel,3.3065
beschte,3.2957
lustig,3.2838
suchtpotenzial,3.2828
cooooooool,3.2816
cooooooooool,3.2733
