term,weight
sträuchern,50.0088
addon,45.3869
runtergestuft,44.283
nachgereicht,42.9979
sensation,40.7419
versetzen,40.5966
grünkohl,37.4276
suck,37.4202
hagen,37.2661
weitaus,36.4564
sichel,35.9881
tätigkeit,35.4479
verstehte,34.3454
ruckelfrei,34.0935
anmeldun,34.0522
lob,33.2639
läufervlos,33.0605
rwich,33.0471
hacke,32.067
gerad,31.6778
ungünstig,31.1379
aufregung,30.8505
ziemlicher,30.0475
schenken,29.7727
süsse,29.7495
züchtig,29.1692
echtgeldeinsatz,29.1146
gesweige,29.0491
geniale,28.8808
hinschicken,28.6218
erhöhung,28.408
zeitweise,27.6636
diesesmal,27.4921
vogelscheuche,27.0011
weihnachtsaufgaebn,26.9315
anmeldungen,26.8389
soringt,26.4786
überlagert,26.4571
weißer,26.3827
taeglichen,26.3378
anwendungsmanager,26.0813
verkehrte,26.0231
erfrischungen,25.9034
schtürzt,25.8587
farmshop,25.7204
schluckt,25.379
wörter,25.3438
handelt,25.2993
kill,25.2711
cm,25.2698
müst,25.0205
freundenliste,24.8684
irgendjemand,24.7473
großschrift,24.4433
rubbel,24.3466
sonnen,24.3392
ad,24.1617
donutkäufe,24.0179
trozden,23.9274
natuerlich,23.9235
integriert,23.8748
gebeuden,23.831
hühnern,23.7924
abba,23.7755
nerfent,23.7666
aufjedenfall,23.7488
sporadische,23.739
gepflanzten,23.6661
abgedroschen,23.6382
gespeischert,23.5455
eingabe,23.5266
behalt,23.4938
täglicher,23.3655
krassen,23.2971
befürchte,23.1882
packt,23.1102
connect,23.1054
abmeldung,23.0496
schatzkisten,22.9846
soda,22.9453
teilnehmer,22.8512
zeitungen,22.797
hakelig,22.7548
abtippen,22.558
bezahlsystem,22.5441
rückler,22.5163
meistern,22.4605
münsen,22.4603
wers,22.46
traue,22.3661
erstklassig,22.3045
zuschalten,22.2284
laufbursche,22.1638
milhouse,22.0059
dasist,21.9723
charmantes,21.9585
frösche,21.8991
hohe,21.8894
verhindern,21.7565
verbrauchen,21.7552
